,Unnamed: 0,operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
6227,6228,sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5446865,-58.4659096",180000.0,USD,2729232.0,180000.0,90.0,63.0,2000.0,2857.142857,,,,http://belgrano.properati.com.ar/v5u5_venta_departamentos_belgrano
6230,6231,sell,apartment,|Argentina|Capital Federal|Velez Sarsfield|,"-34.627876,-58.494816",92000.0,USD,1394940.8,92000.0,,52.0,,1769.230769,1.0,3.0,,http://velez-sarsfield.properati.com.ar/zqyk_venta_departamentos_monte-castro_balcon_jardin_lavadero_terraza_luminoso_impecable_re-max-premium
6234,6235,sell,apartment,|Argentina|Capital Federal|Villa Crespo|,"-34.5961219,-58.4255006",148000.0,USD,2244035.2,148000.0,75.0,64.0,1973.333333,2312.5,1.0,3.0,100.0,http://villa-crespo.properati.com.ar/ytzk_venta_departamentos_villa-crespo_balcon_toilette_vestidor_luminoso_placard_eduardo-bertolotti-propiedades
6242,6243,sell,apartment,|Argentina|Capital Federal|Balvanera|,"-34.6120655,-58.4057337",150000.0,USD,2274360.0,150000.0,85.0,85.0,1764.705882,1764.705882,8.0,5.0,3100.0,http://balvanera.properati.com.ar/zvg1_venta_departamentos_balvanera_lavadero_toilette_luminoso_garage_impecable_placard_aire-acondicionado_eduardo-bertolotti-propiedades
6245,6246,sell,apartment,|Argentina|Capital Federal|Villa Devoto|,"-34.6182787,-58.5005212",72000.0,USD,1091692.8,72000.0,35.0,31.0,2057.142857,2322.580645,,1.0,,http://villa-devoto.properati.com.ar/12vx2_venta_departamentos_villa-devoto_balcon_garage_estrenar_antorcha-hijos-propiedades
6246,6247,sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.610376,-58.443425",128000.0,USD,1940787.2,128000.0,,47.0,,2723.404255,3.0,2.0,,http://caballito.properati.com.ar/11va2_venta_departamentos_caballito_balcon_baulera_lavadero_parrilla_terraza_luminoso_vista_garage_amenities_impecable_placard_aire-acondicionado_losa-radiante_re-max-urbana
6255,6256,sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5611136,-58.4575457",136000.0,USD,2062086.4,136000.0,58.0,58.0,2344.827586,2344.827586,,3.0,,http://belgrano.properati.com.ar/110m7_venta_departamentos_belgrano_luminoso_aire-acondicionado_victorino-de-la-plaza_d03
6257,6258,sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.620698,-58.4284928",120000.0,USD,1819488.0,120000.0,52.0,47.0,2307.692308,2553.191489,6.0,,,http://caballito.properati.com.ar/zjb7_venta_departamentos_caballito_terraza_vista_garage_placard_lepore-propiedades
6264,6265,sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5502714,-58.4531919",220000.0,USD,3335728.0,220000.0,76.0,72.0,2894.736842,3055.555556,,3.0,3000.0,http://belgrano.properati.com.ar/11d0c_venta_departamentos_belgrano_balcon_piscina_toilette_vestidor_aire-acondicionado_losa-radiante_lexinton-propiedades_937
6271,6272,sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.556652,-58.456717",166000.0,USD,2516958.4,166000.0,,66.0,,2515.151515,,2.0,,http://belgrano.properati.com.ar/12pnr_venta_departamentos_belgrano_balcon_baulera_lavadero_patio_piscina_sum_aire-acondicionado_subte-linea-d_re-max-ayres-ii
